DATE,UNRATE,CPIAUCSL,GDP
1987-10-01,6.0,115.0,5007.994
1987-11-01,5.8,115.4,7159.388886363636
1987-12-01,5.7,115.6,7159.388886363636
1988-01-01,5.7,116.0,5073.372
1988-02-01,5.7,116.2,7159.388886363636
1988-03-01,5.7,116.5,7159.388886363636
1988-04-01,5.4,117.2,5190.036
1988-05-01,5.6,117.5,7159.388886363636
1988-06-01,5.4,118.0,7159.388886363636
1988-07-01,5.4,118.5,5282.835
1988-08-01,5.6,119.0,7159.388886363636
1988-09-01,5.4,119.5,7159.388886363636
1988-10-01,5.4,119.9,5399.509
1988-11-01,5.3,120.3,7159.388886363636
1988-12-01,5.3,120.7,7159.388886363636
1989-01-01,5.4,121.2,5511.253
1989-02-01,5.2,121.6,7159.388886363636
1989-03-01,5.0,122.2,7159.388886363636
1989-04-01,5.2,123.1,5612.463
1989-05-01,5.2,123.7,7159.388886363636
1989-06-01,5.3,124.1,7159.388886363636
1989-07-01,5.2,124.5,5695.365
1989-08-01,5.2,124.5,7159.388886363636
1989-09-01,5.3,124.8,7159.388886363636
1989-10-01,5.3,125.4,5747.237
1989-11-01,5.4,125.9,7159.388886363636
1989-12-01,5.4,126.3,7159.388886363636
1990-01-01,5.4,127.5,5872.701
1990-02-01,5.3,128.0,7159.388886363636
1990-03-01,5.2,128.6,7159.388886363636
1990-04-01,5.4,128.9,5960.028
1990-05-01,5.4,129.1,7159.388886363636
1990-06-01,5.2,129.9,7159.388886363636
1990-07-01,5.5,130.5,6015.116
1990-08-01,5.7,131.6,7159.388886363636
1990-09-01,5.9,132.5,7159.388886363636
1990-10-01,5.9,133.4,6004.733
1990-11-01,6.2,133.7,7159.388886363636
1990-12-01,6.3,134.2,7159.388886363636
1991-01-01,6.4,134.7,6035.178
1991-02-01,6.6,134.8,7159.388886363636
1991-03-01,6.8,134.8,7159.388886363636
1991-04-01,6.7,135.1,6126.862
1991-05-01,6.9,135.6,7159.388886363636
1991-06-01,6.9,136.0,7159.388886363636
1991-07-01,6.8,136.2,6205.937
1991-08-01,6.9,136.6,7159.388886363636
1991-09-01,6.9,137.0,7159.388886363636
1991-10-01,7.0,137.2,6264.54
1991-11-01,7.0,137.8,7159.388886363636
1991-12-01,7.3,138.2,7159.388886363636
1992-01-01,7.3,138.3,6363.102
1992-02-01,7.4,138.6,7159.388886363636
1992-03-01,7.4,139.1,7159.388886363636
1992-04-01,7.4,139.4,6470.763
1992-05-01,7.6,139.7,7159.388886363636
1992-06-01,7.8,140.1,7159.388886363636
1992-07-01,7.7,140.5,6566.641
1992-08-01,7.6,140.8,7159.388886363636
1992-09-01,7.6,141.1,7159.388886363636
1992-10-01,7.3,141.7,6680.803
1992-11-01,7.4,142.1,7159.388886363636
1992-12-01,7.4,142.3,7159.388886363636
1993-01-01,7.3,142.8,6729.459
1993-02-01,7.1,143.1,7159.388886363636
1993-03-01,7.0,143.3,7159.388886363636
1993-04-01,7.1,143.8,6808.939
1993-05-01,7.1,144.2,7159.388886363636
1993-06-01,7.0,144.3,7159.388886363636
1993-07-01,6.9,144.5,6882.098
1993-08-01,6.8,144.8,7159.388886363636
1993-09-01,6.7,145.0,7159.388886363636
1993-10-01,6.8,145.6,7013.738
1993-11-01,6.6,146.0,7159.388886363636
1993-12-01,6.5,146.3,7159.388886363636
1994-01-01,6.6,146.3,7115.652
1994-02-01,6.6,146.7,7159.388886363636
1994-03-01,6.5,147.1,7159.388886363636
1994-04-01,6.4,147.2,7246.931
1994-05-01,6.1,147.5,7159.388886363636
1994-06-01,6.1,147.9,7159.388886363636
1994-07-01,6.1,148.4,7331.075
1994-08-01,6.0,149.0,7159.388886363636
1994-09-01,5.9,149.3,7159.388886363636
1994-10-01,5.8,149.4,7455.288
1994-11-01,5.6,149.8,7159.388886363636
1994-12-01,5.5,150.1,7159.388886363636
1995-01-01,5.6,150.5,7522.289
1995-02-01,5.4,150.9,7159.388886363636
1995-03-01,5.4,151.2,7159.388886363636
1995-04-01,5.8,151.8,7580.997
1995-05-01,5.6,152.1,7159.388886363636
1995-06-01,5.6,152.4,7159.388886363636
1995-07-01,5.7,152.6,7683.125
1995-08-01,5.7,152.9,7159.388886363636
1995-09-01,5.6,153.1,7159.388886363636
1995-10-01,5.5,153.5,7772.586
1995-11-01,5.6,153.7,7159.388886363636
1995-12-01,5.6,153.9,7159.388886363636
1996-01-01,5.6,154.7,7868.468
1996-02-01,5.5,155.0,7159.388886363636
1996-03-01,5.5,155.5,7159.388886363636
1996-04-01,5.6,156.1,8032.84
1996-05-01,5.6,156.4,7159.388886363636
1996-06-01,5.3,156.7,7159.388886363636
1996-07-01,5.5,157.0,8131.408
1996-08-01,5.1,157.2,7159.388886363636
1996-09-01,5.2,157.7,7159.388886363636
1996-10-01,5.2,158.2,8259.771
1996-11-01,5.4,158.7,7159.388886363636
1996-12-01,5.4,159.1,7159.388886363636
1997-01-01,5.3,159.4,8362.655
1997-02-01,5.2,159.7,7159.388886363636
1997-03-01,5.2,159.8,7159.388886363636
1997-04-01,5.1,159.9,8518.825
1997-05-01,4.9,159.9,7159.388886363636
1997-06-01,5.0,160.2,7159.388886363636
1997-07-01,4.9,160.4,8662.823
1997-08-01,4.8,160.8,7159.388886363636
1997-09-01,4.9,161.2,7159.388886363636
1997-10-01,4.7,161.5,8765.907
1997-11-01,4.6,161.7,7159.388886363636
1997-12-01,4.7,161.8,7159.388886363636
1998-01-01,4.6,162.0,8866.48
1998-02-01,4.6,162.0,7159.388886363636
1998-03-01,4.7,162.0,7159.388886363636
1998-04-01,4.3,162.2,8969.699
1998-05-01,4.4,162.6,7159.388886363636
1998-06-01,4.5,162.8,7159.388886363636
1998-07-01,4.5,163.2,9121.097
1998-08-01,4.5,163.4,7159.388886363636
1998-09-01,4.6,163.5,7159.388886363636
1998-10-01,4.5,163.9,9293.991
1998-11-01,4.4,164.1,7159.388886363636
1998-12-01,4.4,164.4,7159.388886363636
1999-01-01,4.3,164.7,9411.682
1999-02-01,4.4,164.7,7159.388886363636
1999-03-01,4.2,164.8,7159.388886363636
1999-04-01,4.3,165.9,9526.21
1999-05-01,4.2,166.0,7159.388886363636
1999-06-01,4.3,166.0,7159.388886363636
1999-07-01,4.3,166.7,9686.626
